% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
5.67021	1	1	1	1.12436e-10	237036	0
5.67121	1	1	1	1.12448e-10	237060	0
5.67221	1	1	1	1.12459e-10	237085	0
5.67321	1	1	1	1.12471e-10	237109	0
5.67421	1	1	1	1.12482e-10	237134	0
5.67521	1	1	1	1.12494e-10	237158	0
5.67621	1	1	1	1.12506e-10	237183	0
5.67721	1	1	1	1.12517e-10	237207	0
5.67821	1	1	1	1.12529e-10	237232	0
5.67921	1	1	1	1.12541e-10	237257	0
5.68021	1	1	1	1.12552e-10	237281	0
5.68121	1	1	1	1.12564e-10	237306	0
5.68221	1	1	1	1.12576e-10	237330	0
5.68321	1	1	1	1.12587e-10	237355	0
5.68421	1	1	1	1.12599e-10	237379	0
5.68521	1	1	1	1.12611e-10	237404	0
5.68621	1	1	1	1.12622e-10	237429	0
5.68721	1	1	1	1.12634e-10	237453	0
5.68821	1	1	1	1.12646e-10	237478	0
5.68921	1	1	1	1.12657e-10	237502	0
5.69021	1	1	1	1.12669e-10	237527	0
5.69121	1	1	1	1.12681e-10	237552	0
5.69221	1	1	1	1.12692e-10	237576	0
5.69321	1	1	1	1.12704e-10	237601	0
5.69421	1	1	1	1.12716e-10	237625	0
5.69521	1	1	1	1.12727e-10	237650	0
5.69621	1	1	1	1.12739e-10	237675	0
5.69721	1	1	1	1.12751e-10	237699	0
5.69821	1	1	1	1.12762e-10	237724	0
5.69921	1	1	1	1.12774e-10	237749	0
5.70021	1	1	1	1.12786e-10	237773	0
5.70121	1	1	1	1.12797e-10	237798	0
5.70221	1	1	1	1.12809e-10	237822	0
5.70321	1	1	1	1.12821e-10	237847	0
5.70421	1	1	1	1.12832e-10	237872	0
5.70521	1	1	1	1.12844e-10	237896	0
5.70621	1	1	1	1.12856e-10	237921	0
5.70721	1	1	1	1.12868e-10	237946	0
5.70821	1	1	1	1.12879e-10	237970	0
5.70921	1	1	1	1.12891e-10	237995	0
5.71021	1	1	1	1.12903e-10	238020	0
5.71121	1	1	1	1.12914e-10	238044	0
5.71221	1	1	1	1.12926e-10	238069	0
5.71321	1	1	1	1.12938e-10	238094	0
5.71421	1	1	1	1.1295e-10	238118	0
5.71521	1	1	1	1.12961e-10	238143	0
5.71621	1	1	1	1.12973e-10	238168	0
5.71721	1	1	1	1.12985e-10	238193	0
5.71821	1	1	1	1.12996e-10	238217	0
5.71921	1	1	1	1.13008e-10	238242	0
5.72021	1	1	1	1.1302e-10	238267	0
5.72121	1	1	1	1.13032e-10	238291	0
5.72221	1	1	1	1.13043e-10	238316	0
5.72321	1	1	1	1.13055e-10	238341	0
5.72421	1	1	1	1.13067e-10	238366	0
5.72521	1	1	1	1.13078e-10	238390	0
5.72621	1	1	1	1.1309e-10	238415	0
5.72721	1	1	1	1.13102e-10	238440	0
5.72821	1	1	1	1.13114e-10	238465	0
5.72921	1	1	1	1.13125e-10	238489	0
5.73021	1	1	1	1.13137e-10	238514	0
5.73121	1	1	1	1.13149e-10	238539	0
5.73221	1	1	1	1.13161e-10	238564	0
5.73321	1	1	1	1.13172e-10	238588	0
5.73421	1	1	1	1.13184e-10	238613	0
5.73521	1	1	1	1.13196e-10	238638	0
